bank,peak_heat,thermal_load,dwell,miss_traj,miss_t2,peak_ne
#units,deg,W/m2,J/m2,s,m,m,m^-3
12.5,1703319.1603005284,13522776.193280354,9.99999999999998,2.8969152824065696,1.319090595827292,25243444257545130000
13,1703326.6390656766,13522800.792176241,9.99999999999998,2.554760051504471,1.319090595827292,25243906201302100000
13.5,1703334.405968307,13522826.338803586,9.99999999999998,2.3934550020803553,1.319090595827292,25244385945616480000
14,1703342.460414409,13522852.831210509,9.99999999999998,2.4490139792692927,1.319090595827292,25244883455054590000
14.5,1703350.801791626,13522880.26738672,9.99999999999998,2.7081200047649143,1.319090595827292,25245398691337810000
15,1703359.4294637095,13522908.645237941,9.99999999999998,3.120459333065107,1.319090595827292,25245931615888716000
15.5,1703368.3427728645,13522937.962593049,9.99999999999998,3.6342196369972126,1.319090595827292,25246482188821910000
16,1703377.5410408843,13522968.217233209,9.99999999999998,4.212424075667499,1.319090595827292,25247050367853703000
16.5,1703387.0235658363,13522999.406839183,9.99999999999998,4.831958507189155,1.319090595827292,25247636110953464000
17,1703396.7896256978,13523031.529048296,9.99999999999998,5.47878225650025,1.319090595827292,25248239373200920000
17.5,1703406.8384764337,13523064.581400277,9.99999999999998,6.1442424487616645,1.319090595827292,25248860109978690000
